Fund Name,Currency,Risk Rating,Cash,CPFIS-OA,CPFIS-SA,SRS,Management Fee,Annual Expense Ratio,Fund Size(million),Initial,Subsequent,Indicated Gross <br\/> Dividend Yield* (%),Cash Investment,Frequency,FSM Sales Charge,
"United Asian Bond Fund SGD",SGD,4,Y,N,N,Y,1.10%,1.33%,SGD 98.01,1000.00,100.00,4.06%,Reinvest,M,0,
"LionGlobal Singapore/Malaysia SGD",SGD,9,Y,N,N,Y,1.15%,1.56%,SGD 21.80,1000.00,100.00,,,,0,
"LionGlobal China Growth SGD",SGD,8,Y,N,N,Y,1.25%,1.51%,SGD 36.00,1000.00,100.00,,,,0,
"United Singapore Growth Fund SGD",SGD,8,Y,N,N,Y,1.00%,1.51%,SGD 50.05,500.00,100.00,2.29%,Reinvest,H,0,
"United Global Technology Fund SGD",SGD,10,Y,N,N,Y,1.75%,2.89%,SGD 16.58,1000.00,500.00,,,,0,
"Nikko AM Horizon Singapore Fixed Income Enhanced SGD",SGD,1,Y,N,N,Y,1.00%,1.22%,SGD 25.37,1000.00,100.00,,,,0,
"Stewart Investors Worldwide Leaders Sustainability A Acc SGD",SGD,7,Y,N,N,Y,1.20%,1.84%,SGD 25.60,1000.00,100.00,,,,0,
"Eastspring Investments Unit Trusts - Singapore Select Bond A SGD",SGD,1,Y,Y,Y,Y,0.50%,0.63%,SGD 1344.10,1000.00,100.00,,,,0,
"FSSA Asia Opportunities A Acc SGD",SGD,10,Y,N,N,Y,1.75%,2.27%,SGD 23.70,1000.00,100.00,,,,0,
"Legg Mason Martin Currie - Southeast Asia Trust A Acc SGD",SGD,9,Y,Y,N,Y,1.50%,1.75%,SGD 67.02,1000.00,100.00,,,,0,
"Eastspring Investments Unit Trusts - Pan European SGD",SGD,8,Y,Y,N,Y,0.75%,1.74%,SGD 76.80,1000.00,100.00,,,,0,
"LionGlobal Singapore Trust SGD",SGD,8,Y,N,N,Y,1.15%,1.37%,SGD 74.40,1000.00,100.00,,,,0,
"Fidelity American Growth A-USD",USD,8,Y,N,N,N,1.50%,1.90%,USD 1290.00,1000.00,100.00,,Reinvest,Y,0,
"Fidelity Asian Special Situations A-USD",USD,8,Y,N,N,Y,1.50%,1.92%,USD 4347.00,1000.00,100.00,0.20%,Reinvest,Y,0,
"Fidelity Global Consumer Industries A-EUR",EUR,10,Y,N,N,N,1.50%,1.90%,EUR 1451.00,1000.00,100.00,,Reinvest,Y,0,
"Legg Mason Western Asset - Asian Opportunities A Mdis SGD-H Plus",SGD,4,Y,N,N,N,1.10%,1.35%,USD 600.00,1000.00,100.00,4.13%,Reinvest,M,0,
"Growthpath Portfolios - Growthpath 2040 SGD",SGD,6,Y,N,N,Y,0.95%,2.05%,SGD 22.00,1000.00,100.00,,,,0,
"Eastspring Investments Unit Trusts - Global Technology SGD",SGD,10,Y,N,N,Y,0.75%,1.68%,SGD 411.90,1000.00,100.00,,,,0,
"Legg Mason Western Asset - Emerging Markets Total Return Bond A Mdis SGD-H Plus",SGD,5,Y,N,N,N,1.50%,1.78%,USD 22.08,1000.00,100.00,,Reinvest,M,0,
"FSSA Asian Growth A Acc USD",USD,8,Y,N,N,N,1.50%,1.75%,USD 47.90,1000.00,100.00,,,,0,
"Nikko AM Shenton Income Fund SGD",SGD,4,Y,N,N,Y,1.00%,1.22%,SGD 152.86,1000.00,100.00,4.01%,Reinvest,M,0,
"Nikko AM Shenton Emerging Enterprise Discovery Fund SGD",SGD,10,Y,N,N,Y,1.50%,2.57%,SGD 41.86,1000.00,100.00,,,,0,
"Infinity Global Stock Index SGD",SGD,7,Y,N,N,Y,0.47%,0.76%,SGD 112.10,1000.00,100.00,,,,0,
"Principal ASEAN Dynamic Fund Class SGD",SGD,9,Y,N,N,Y,1.50%,2.40%,USD 15.95,1000.00,100.00,,,,0,
"LionGlobal Short Duration Bond Cl A Dis SGD",SGD,2,Y,Y,Y,Y,0.50%,0.57%,SGD 703.10,1000.00,100.00,2.53%,Reinvest,Q,0,
"Aberdeen Standard Global Opportunities SGD",SGD,7,Y,Y,N,Y,1.50%,1.75%,SGD 86.60,1000.00,100.00,,,,0,
"Schroder Emerging Markets Acc SGD",SGD,9,Y,N,N,Y,,1.92%,SGD 175.51,1000.00,500.00,,,,0,
"Infinity US 500 Stock Index USD",USD,8,Y,N,N,N,0.47%,0.67%,SGD 208.60,1000.00,100.00,,,,0,
"Infinity European Stock Index USD",USD,8,Y,N,N,N,0.47%,1.17%,SGD 9.60,1000.00,100.00,,,,0,
"Fidelity European Growth A-EUR",EUR,8,Y,N,N,Y,1.50%,1.89%,EUR 6927.00,1000.00,100.00,1.12%,Reinvest,Y,0,
"Principal Asia Pacific Dynamic Income Fund Class SGD",SGD,8,Y,N,N,Y,1.50%,1.85%,USD 1320.00,1000.00,100.00,3.10%,Payout,Q,0,
"Fidelity Multi Asset Income A-USD",USD,5,Y,N,N,N,1.25%,1.68%,USD 113.00,1000.00,100.00,1.72%,Reinvest,Y,0,
"Fidelity Global Industrials A-EUR",EUR,10,Y,N,N,N,1.50%,1.91%,EUR 152.00,1000.00,100.00,0.18%,Reinvest,Y,0,
"Fidelity Global Bond A-USD",USD,4,Y,N,N,N,0.75%,1.07%,USD 1433.00,1000.00,100.00,0.93%,Reinvest,Y,0,
"Fidelity Malaysia A-USD",USD,9,Y,N,N,N,1.50%,1.91%,USD 59.00,1000.00,100.00,1.78%,Reinvest,Y,0,
"Fidelity Global Dividend Plus A-EUR",EUR,10,Y,N,N,N,1.50%,1.90%,EUR 91.00,1000.00,100.00,3.05%,Reinvest,Y,0,
"Fidelity US High Yield A-USD",USD,4,Y,N,N,N,1.00%,1.39%,USD 4436.00,1000.00,100.00,4.26%,Payout,Y,0,
"DWS Lion Bond A SGD",SGD,1,Y,N,N,Y,0.50%,0.74%,SGD 52.20,1000.00,100.00,,,,0,
"HGIF - Indian Equity AD USD",USD,9,Y,N,N,N,1.50%,1.90%,USD 1205.49,1000.00,100.00,,,,0,
"Fidelity Global Technology A-EUR",EUR,10,Y,N,N,N,1.50%,1.89%,EUR 12170.00,1000.00,100.00,,,,0,
"Fidelity Australia A-AUD",AUD,9,Y,N,N,N,1.50%,1.92%,AUD 575.00,1000.00,100.00,1.19%,Reinvest,Y,0,
"Fidelity China Focus A-USD",USD,9,Y,N,N,N,1.50%,1.91%,USD 2470.00,1000.00,100.00,1.21%,Reinvest,Y,0,
"Fidelity Iberia A-EUR",EUR,8,Y,N,N,N,1.50%,1.93%,EUR 214.00,1000.00,100.00,,Reinvest,Y,0,
"Fidelity United Kingdom A-GBP",GBP,9,Y,N,N,N,1.50%,1.90%,GBP 67.00,1000.00,100.00,1.19%,Reinvest,Y,0,
"LionGlobal Korea USD",USD,9,Y,N,N,N,1.25%,1.67%,SGD 19.30,1000.00,100.00,,,,0,
"Janus Henderson Horizon Euroland A2 EUR",EUR,8,Y,N,N,N,1.20%,1.86%,EUR 1040.00,1000.00,100.00,,,,0,
"Janus Henderson Horizon Pan European Property Equities A2 EUR",EUR,10,Y,N,N,N,1.20%,1.87%,EUR 518.55,1000.00,100.00,,,,0,
"Stewart Investors Global Emerging Markets Leaders A Acc SGD",SGD,9,Y,N,N,Y,1.45%,2.24%,SGD 6.40,1000.00,100.00,,,,0,
"Aberdeen Standard India Opportunities USD",USD,9,Y,N,N,N,1.50%,1.75%,SGD 700.00,1000.00,100.00,,,,0,
"LionGlobal Japan Growth USD",USD,8,Y,N,N,N,1.40%,1.55%,SGD 294.80,1000.00,100.00,,,,0,
