Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,1.00,-4.64,-13.87,-7.67,-2.65
Depreciation/Depletion,1.07,1.30,1.76,1.76,2.01
Non-Cash Items,1.18,1.07,5.16,3.13,1.16
Cash Taxes Paid,0.37,0.51,-0.07,0.11,0.11
Changes in Working Capital,1.72,0.18,8.33,-3.01,-0.64
Cash from Operating Activities,4.97,-2.09,1.37,-5.79,-0.12
Capital Expenditures,-0.36,-0.21,-0.40,-0.01,-0.36
"Other Investing Cash Flow Items, Total",-5.91,-0.34,0.01,0.00,0.00
Cash from Investing Activities,-6.27,-0.55,-0.38,-0.01,-0.36
Total Cash Dividends Paid,-1.22,0,0,0,0
"Issuance (Retirement) of Stock, Net",4.46,0,0.00,1.13,5.16
Cash from Financing Activities,5.30,-1.06,-1.25,5.86,1.83
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,4.00,-3.70,-0.26,0.06,1.35
