Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,95.72,192.04,266.19,235.77,75.23
Total Revenue,95.72,192.04,266.19,235.77,75.23
"Selling/General/Admin. Expenses, Total",20.24,47.04,71.99,68.94,90.03
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.02,-0.01,0.02,-0.02,2.49
"Other Operating Expenses, Total",-0.34,-0.48,-4.27,-0.47,-16.93
Total Operating Expense,70.29,150.60,208.51,206.57,154.31
Operating Income,25.43,41.43,57.68,29.21,-79.08
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.42,-4.82,-17.85,-19.58,-18.90
"Other, Net",0,0,0,0,-0.08
Net Income Before Taxes,24.01,36.61,39.83,9.63,-98.05
Provision for Income Taxes,3.67,7.10,11.11,3.34,1.46
Net Income After Taxes,20.34,29.51,28.72,6.29,-99.51
Net Income Before Extra. Items,17.52,22.40,19.14,3.33,-90.78
Net Income,17.52,22.40,19.14,3.33,-90.78
Income Available to Com Excl ExtraOrd,17.52,22.40,19.14,3.33,-90.78
Income Available to Com Incl ExtraOrd,17.52,22.40,19.14,3.33,-90.78
Diluted Net Income,17.52,22.40,19.14,3.33,-90.78
Diluted Weighted Average Shares,1351.52,1508.75,1550.41,1550.41,1550.41
Diluted EPS Excluding ExtraOrd Items,0.01,0.01,0.01,0.00,-0.06
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.01,0.01,0.01,0.01,-0.04
