Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 May 2016,31 May 2017,31 May 2018,31 May 2019,31 May 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,3.34,1.54,6.07,9.44,4.82
Depreciation/Depletion,0.21,0.19,0.35,0.42,1.32
Non-Cash Items,0.23,0.29,-0.48,-2.58,1.36
Cash Taxes Paid,0.42,0.49,0.30,0.54,0.83
Changes in Working Capital,-0.98,-0.75,0.17,-0.53,-1.04
Cash from Operating Activities,2.80,1.27,6.13,6.77,6.47
Capital Expenditures,-0.19,-1.10,-0.26,-0.30,-1.28
"Other Investing Cash Flow Items, Total",-0.12,-2.63,-8.13,0.03,-2.56
Cash from Investing Activities,-0.31,-3.73,-8.39,-0.27,-3.83
Total Cash Dividends Paid,-0.07,-2.63,-2.69,-2.98,-3.74
"Issuance (Retirement) of Stock, Net",0.01,8.10,-0.32,-0.43,0.00
Cash from Financing Activities,2.80,5.38,-1.51,-6.46,-0.88
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,5.29,2.92,-3.77,0.04,1.76
