Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Cash,0.00,40.03,33.20,31.85,59.44
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,0.00,85.08,71.67,87.19,68.32
"Accounts Receivable - Trade, Net",0.28,0.74,0.98,1.16,1.52
"Total Receivables, Net",2.93,4.97,19.28,8.41,13.38
Prepaid Expenses,1.32,0.29,0.78,2.20,0.32
"Other Current Assets, Total",29.45,0,0,0,0
Total Current Assets,34.93,91.46,92.74,98.93,83.72
"Property/Plant/Equipment, Total - Gross",17.14,17.21,20.91,23.15,226.08
"Accumulated Depreciation, Total",-13.05,-8.67,-10.59,-13.43,-17.27
"Property/Plant/Equipment, Total - Net",4.09,8.54,10.33,9.72,208.82
"Goodwill, Net",0,0,0.71,0.71,0.00
"Intangibles, Net",0.31,1.31,3.45,5.26,4.41
Long Term Investments,0,0,0,0,16.82
Total Assets,43.39,106.20,115.62,121.04,319.83
Accounts Payable,6.62,6.75,5.96,7.26,8.50
Accrued Expenses,7.25,8.91,8.90,9.36,11.11
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",9.97,15.42,15.43,15.04,25.24
Total Current Liabilities,23.86,31.08,30.32,31.68,79.13
Total Long Term Debt,0.00,0.00,0.05,0.02,128.36
Total Debt,0.03,0.00,0.07,0.05,162.65
Deferred Income Tax,0,0.36,0.25,0.37,0.45
"Other Liabilities, Total",1.21,1.10,1.42,1.08,1.68
Total Liabilities,33.27,32.54,32.04,33.14,209.62
"Common Stock, Total",122.48,287.14,287.14,287.14,297.14
Retained Earnings (Accumulated Deficit),-112.83,-100.92,-90.15,-84.35,-71.95
Treasury Stock - Common,0,0,-0.84,-2.33,-2.42
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.47,-112.56,-112.56,-112.56,-112.56
Total Equity,10.12,73.66,83.59,87.89,110.21
Total Liabilities & Shareholders' Equity,43.39,106.20,115.62,121.04,319.83
Total Common Shares Outstanding,1154.79,1157.79,1155.39,1149.18,1188.67
"Tangible Book Value per Share, Common Eq",0.01,0.06,0.07,0.07,0.09
