Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,86.86,100.67,119.11,141.11,132.56
Total Revenue,86.86,100.67,119.11,141.11,132.56
"Selling/General/Admin. Expenses, Total",29.14,37.69,54.15,61.02,55.43
Depreciation/Amortisation,4.94,5.52,8.21,17.67,18.06
Unusual Expense (Income),3.32,5.82,0.27,0.35,4.97
"Other Operating Expenses, Total",9.02,9.82,15.67,15.61,10.51
Total Operating Expense,73.13,92.19,118.28,151.25,143.70
Operating Income,13.74,8.48,0.83,-10.14,-11.13
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,-0.43,-1.19,-0.76
Net Income Before Taxes,13.74,8.48,0.40,-11.34,-11.89
Provision for Income Taxes,6.03,3.61,0.85,2.18,0.21
Net Income After Taxes,7.71,4.88,-0.45,-13.51,-12.10
Net Income Before Extra. Items,1.24,4.88,-0.45,-13.52,-12.10
Net Income,9.32,5.01,-0.45,-13.52,-12.10
Income Available to Com Excl ExtraOrd,1.24,4.88,-0.45,-13.52,-12.10
Income Available to Com Incl ExtraOrd,9.32,5.01,-0.45,-13.52,-12.10
Diluted Net Income,9.32,5.01,-0.45,-13.52,-12.10
Diluted Weighted Average Shares,355.82,326.51,380.05,381.58,381.58
Diluted EPS Excluding ExtraOrd Items,0.00,0.01,-0.00,-0.04,-0.03
DPS - Common Stock Primary Issue,0,0.01,0.00,0,0
Diluted Normalised EPS,0.00,0.03,-0.00,-0.03,-0.02
