Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Mar 2016,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,7.19,6.27,3.84,2.83,0.66
Depreciation/Depletion,0.41,0.49,0.58,1.08,1.17
Non-Cash Items,0.18,0.21,0.39,0.31,0.10
Cash Taxes Paid,0.32,0.61,2.04,0.93,0.55
Changes in Working Capital,-4.65,7.42,-11.77,-1.87,8.38
Cash from Operating Activities,3.12,14.39,-6.97,2.35,10.31
Capital Expenditures,-0.70,-0.43,-5.43,-1.89,-0.25
"Other Investing Cash Flow Items, Total",-0.48,0.06,0.36,0.18,0.50
Cash from Investing Activities,-1.18,-0.37,-5.08,-1.71,0.25
Total Cash Dividends Paid,-0.90,-8.00,0.00,-0.67,-0.67
"Issuance (Retirement) of Stock, Net",0,0,11.04,0.00,0
Cash from Financing Activities,0.45,-9.16,9.91,-1.16,-1.22
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,2.39,4.86,-2.13,-0.53,9.34
