Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,1.84,-0.89,-3.98,-1.68,0.85
Depreciation/Depletion,0.10,0.09,0.11,0.31,0.23
Non-Cash Items,0.02,0.24,0.28,0.10,0.29
Cash Taxes Paid,0.01,0.02,0.22,0.01,-0.01
Changes in Working Capital,0.63,-3.58,1.05,0.94,-0.53
Cash from Operating Activities,2.60,-4.10,-2.41,-0.17,0.97
Capital Expenditures,-0.05,-0.34,-0.33,-0.06,-0.05
"Other Investing Cash Flow Items, Total",0,-0.00,0.26,-0.03,0.02
Cash from Investing Activities,-0.05,-0.34,-0.07,-0.08,-0.03
Total Cash Dividends Paid,-2.43,-0.60,0.00,0,0
"Issuance (Retirement) of Stock, Net",0.14,5.18,0.91,1.45,0.63
Cash from Financing Activities,-2.34,4.36,2.08,0.87,-0.70
Foreign Exchange Effects,-0.00,0.02,-0.00,-0.01,-0.00
Net Change in Cash,0.20,-0.05,-0.40,0.61,0.24
