Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,PROSPECTUS,PROSPECTUS,ARS,ARS,ARS
Net Income/Starting Line,3.81,7.32,5.29,5.34,-5.62
Depreciation/Depletion,7.38,8.05,8.53,8.06,27.38
Non-Cash Items,1.11,0.81,1.72,1.59,2.30
Cash Taxes Paid,2.20,0.01,1.52,1.81,1.47
Changes in Working Capital,-1.20,0.97,-3.59,-3.67,0.23
Cash from Operating Activities,11.10,17.15,11.94,11.32,24.29
Capital Expenditures,-8.28,-5.86,-6.90,-3.48,-6.75
"Other Investing Cash Flow Items, Total",-0.60,-1.56,2.84,1.15,-0.51
Cash from Investing Activities,-8.88,-7.42,-4.06,-2.33,-7.26
Total Cash Dividends Paid,-1.96,-13.96,-4.00,-1.42,-1.59
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-4.17,-12.50,-0.02,-4.84,-20.34
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-1.95,-2.78,7.87,4.15,-3.31
