Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,ARS,ARS,ARS
Revenue,135.26,140.89,142.29,141.00,110.65
Total Revenue,135.26,140.89,142.29,141.00,110.65
"Selling/General/Admin. Expenses, Total",71.15,71.38,73.99,73.99,47.64
Depreciation/Amortisation,7.38,8.05,8.53,8.06,27.38
Unusual Expense (Income),0.53,0.45,1.44,1.57,0
"Other Operating Expenses, Total",13.45,13.80,12.39,11.37,3.06
Total Operating Expense,131.00,133.26,135.48,133.91,109.58
Operating Income,4.26,7.64,6.81,7.09,1.07
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.45,-0.32,-0.35,-0.29,-3.66
"Other, Net",0,0,-1.17,-1.46,-3.03
Net Income Before Taxes,3.81,7.32,5.29,5.34,-5.62
Provision for Income Taxes,0.90,1.63,1.72,1.37,-0.27
Net Income After Taxes,2.91,5.69,3.57,3.98,-5.35
Net Income Before Extra. Items,2.91,5.69,3.57,4.04,-5.24
Net Income,2.91,5.69,3.57,4.04,-5.24
Income Available to Com Excl ExtraOrd,2.91,5.69,3.57,4.04,-5.24
Income Available to Com Incl ExtraOrd,2.91,5.69,3.57,4.04,-5.24
Diluted Net Income,2.91,5.69,3.57,4.04,-5.24
Diluted Weighted Average Shares,354.00,354.00,332.85,354.00,354.00
Diluted EPS Excluding ExtraOrd Items,0.01,0.02,0.01,0.01,-0.01
DPS - Common Stock Primary Issue,0,0,0.00,0.00,0.00
Diluted Normalised EPS,0.01,0.02,0.01,0.01,-0.01
