Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-2.21,-10.91,-18.73,-11.43,2.12
Depreciation/Depletion,0.04,0.09,1.02,3.11,4.11
Non-Cash Items,-4.49,4.10,9.16,4.86,-2.95
Cash Taxes Paid,0.00,0.00,0.04,0.05,0.19
Changes in Working Capital,0.84,-0.07,-1.74,-5.27,-1.32
Cash from Operating Activities,-5.75,-6.77,-10.21,-8.64,2.61
Capital Expenditures,-1.77,-2.66,-1.68,-1.73,-1.08
"Other Investing Cash Flow Items, Total",-1.42,10.72,-8.57,-13.62,0.18
Cash from Investing Activities,-3.19,8.06,-10.25,-15.35,-0.90
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",9.22,24.64,0.00,11.28,0.00
Cash from Financing Activities,10.59,22.09,0.71,26.26,-1.03
Foreign Exchange Effects,-0.03,0.05,-0.22,0.04,0.12
Net Change in Cash,1.61,23.43,-19.97,2.32,0.80
