Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,PROSPECTUS,ARS,ARS,PRESS
Net Income/Starting Line,5.48,7.16,7.00,7.99,7.11
Depreciation/Depletion,0.37,0.34,0.44,1.60,1.68
Non-Cash Items,0.61,0.33,2.12,-0.07,-0.19
Cash Taxes Paid,1.05,0.68,1.16,1.41,1.06
Changes in Working Capital,-0.36,-3.93,-2.41,-0.47,-4.87
Cash from Operating Activities,6.48,4.31,7.54,9.45,4.13
Capital Expenditures,-0.52,-0.17,-3.38,-0.61,-1.20
"Other Investing Cash Flow Items, Total",-10.74,0.01,0.05,0.16,0.19
Cash from Investing Activities,-11.26,-0.16,-3.32,-0.45,-1.01
Total Cash Dividends Paid,0,0,-7.00,-1.65,-3.00
"Issuance (Retirement) of Stock, Net",0,0,15.61,0.00,0
Cash from Financing Activities,3.85,-4.48,5.85,-5.19,-1.76
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-0.93,-0.33,10.06,3.81,1.36
