Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Jul 2016,31 Jul 2017,31 Jul 2018,31 Jul 2019,31 Jul 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,ARS,ARS,PRESS
Revenue,0.00,12.00,39.93,39.81,20.71
Total Revenue,0.00,12.00,39.93,39.81,20.71
"Selling/General/Admin. Expenses, Total",0.44,3.05,10.83,8.65,7.30
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",0,0,-0.24,-0.86,-1.20
Total Operating Expense,0.44,8.68,24.00,22.94,15.42
Operating Income,-0.44,3.32,15.93,16.87,5.29
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-0.02,-0.03,-0.11
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-0.44,3.32,15.91,16.85,5.19
Provision for Income Taxes,-0.07,0.83,5.00,3.70,1.71
Net Income After Taxes,-0.37,2.49,10.91,13.14,3.48
Net Income Before Extra. Items,-0.26,1.74,7.53,8.88,2.20
Net Income,-0.26,1.74,7.53,8.88,2.20
Income Available to Com Excl ExtraOrd,-0.26,1.74,7.53,8.88,2.20
Income Available to Com Incl ExtraOrd,-0.26,1.74,7.53,8.88,2.20
Diluted Net Income,-0.26,1.74,7.53,8.88,2.20
Diluted Weighted Average Shares,118.47,118.47,118.47,118.47,118.47
Diluted EPS Excluding ExtraOrd Items,-0.00,0.01,0.06,0.07,0.02
DPS - Common Stock Primary Issue,0,0,0,0.01,0
Diluted Normalised EPS,-0.00,0.01,0.06,0.07,0.02
