Fiscal Year,2014,2015,2016,2017,2018
Period Ended,30 Jun 2014,30 Jun 2015,30 Jun 2016,30 Jun 2017,30 Jun 2018
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,0,0,0,0,0
Depreciation/Depletion,0,0,0,0,0
Non-Cash Items,0,0,0,0,0
Cash Taxes Paid,0,0,0.92,0.40,0.00
Changes in Working Capital,0.01,0.01,0.02,0.23,8.42
Cash from Operating Activities,-1.77,-3.47,-0.84,-1.91,4.72
Capital Expenditures,-2.37,-5.45,-3.48,-0.00,-44.98
"Other Investing Cash Flow Items, Total",0.13,-0.88,0.82,1.91,3.91
Cash from Investing Activities,-2.24,-6.33,-2.66,1.91,-41.07
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",4.87,8.57,4.98,0.00,44.58
Cash from Financing Activities,7.96,9.20,4.92,-2.36,52.39
Foreign Exchange Effects,-0.28,0.77,0.11,-0.17,-0.06
Net Change in Cash,3.67,0.17,1.53,-2.53,15.98
