Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,Interim Report,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0.06,0.06
Cash and Short Term Investments,20.38,24.82,27.11,25.72,24.18
"Accounts Receivable - Trade, Net",1.75,1.91,2.45,2.56,2.34
"Total Receivables, Net",1.87,2.30,2.55,2.67,2.57
Prepaid Expenses,0.18,0.20,0.19,0.24,0.25
"Other Current Assets, Total",0.40,0.43,0.47,0.41,0.51
Total Current Assets,24.04,28.93,31.44,30.25,28.83
"Property/Plant/Equipment, Total - Gross",8.87,9.74,9.75,14.84,22.69
"Accumulated Depreciation, Total",-4.90,-5.85,-6.02,-6.75,-7.79
"Property/Plant/Equipment, Total - Net",3.97,3.89,3.74,8.09,14.90
"Goodwill, Net",34.64,34.89,34.92,33.71,42.25
"Intangibles, Net",4.47,3.88,3.27,2.65,2.17
Long Term Investments,0,0,0.22,0.37,0.28
Total Assets,67.15,71.60,73.57,75.17,88.48
Accounts Payable,0.94,1.07,1.15,1.38,1.10
Accrued Expenses,2.09,1.89,2.31,2.66,2.10
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",2.40,1.37,1.73,1.70,3.23
Total Current Liabilities,5.43,4.33,5.18,7.29,8.94
Total Long Term Debt,0.00,0.00,0.00,3.17,6.75
Total Debt,0.00,0.00,0.00,4.71,9.26
Deferred Income Tax,0.76,0.68,0.56,0.45,0.38
"Other Liabilities, Total",0.20,0.21,0.22,0.16,0.72
Total Liabilities,6.36,5.53,6.72,11.55,17.37
"Common Stock, Total",59.67,59.67,59.67,64.74,70.05
Retained Earnings (Accumulated Deficit),1.12,5.90,6.66,-1.51,0.59
Treasury Stock - Common,0,0,0,-0.11,-0.11
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.00,0.50,0.53,0.50,0.57
Total Equity,60.79,66.08,66.86,63.63,71.11
Total Liabilities & Shareholders' Equity,67.15,71.60,73.57,75.17,88.48
Total Common Shares Outstanding,517.10,517.10,517.10,532.35,550.30
"Tangible Book Value per Share, Common Eq",0.04,0.05,0.06,0.05,0.05
