Fiscal Year,2017,2018,2019,2020,2021
Period Ended,30 Apr 2017,30 Apr 2018,30 Apr 2019,30 Apr 2020,30 Apr 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,15.11,10.50,14.46,13.96,9.81
Total Revenue,15.11,10.50,14.46,13.96,9.81
"Selling/General/Admin. Expenses, Total",4.50,4.13,3.99,5.07,4.58
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.19,-0.00,0.00,-0.02,-5.21
"Other Operating Expenses, Total",-0.67,-0.67,-0.80,-1.31,-1.64
Total Operating Expense,15.75,12.32,13.35,14.08,5.99
Operating Income,-0.64,-1.81,1.11,-0.12,3.82
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.97,-0.93,-1.02,-1.13,-0.95
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-1.60,-2.74,0.09,-1.25,2.86
Provision for Income Taxes,-0.18,-0.26,0.02,0.07,-0.35
Net Income After Taxes,-1.42,-2.48,0.07,-1.33,3.21
Net Income Before Extra. Items,-1.42,-2.48,0.07,-1.36,3.22
Net Income,-1.42,-2.48,0.07,-1.36,3.22
Income Available to Com Excl ExtraOrd,-1.42,-2.48,0.07,-1.36,3.22
Income Available to Com Incl ExtraOrd,-1.42,-2.48,0.07,-1.36,3.22
Diluted Net Income,-1.42,-2.48,0.07,-1.36,3.22
Diluted Weighted Average Shares,104.14,108.79,137.99,165.79,165.79
Diluted EPS Excluding ExtraOrd Items,-0.01,-0.02,0.00,-0.01,0.02
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.01,-0.02,0.00,-0.00,-0.00
