Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,4.16,8.31,8.53,-8.50,-6.01
Depreciation/Depletion,1.64,1.35,1.29,11.72,9.20
Non-Cash Items,3.34,3.30,3.24,4.78,3.29
Cash Taxes Paid,1.62,2.13,3.14,2.36,1.20
Changes in Working Capital,-14.71,-27.13,-12.98,-1.09,-8.80
Cash from Operating Activities,-2.95,-10.90,4.01,6.91,-2.32
Capital Expenditures,-7.25,-4.74,-2.12,-0.22,-0.27
"Other Investing Cash Flow Items, Total",-1.77,-1.33,-15.41,11.73,0.92
Cash from Investing Activities,-9.01,-6.07,-17.53,11.50,0.65
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,12.46,0.00,9.03,0.00
Cash from Financing Activities,5.67,14.95,2.79,-14.94,-4.69
Foreign Exchange Effects,-0.56,0.77,-0.16,0.02,0.05
Net Change in Cash,-6.86,-1.25,-10.88,3.49,-6.31
