Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,21.56,14.69,18.94,17.57,15.18
Total Revenue,21.56,14.69,18.94,17.57,15.18
"Selling/General/Admin. Expenses, Total",7.94,7.48,5.25,4.82,4.49
Depreciation/Amortisation,0.31,0.31,0.28,0.24,0.11
Unusual Expense (Income),1.48,6.44,0,0,0.24
"Other Operating Expenses, Total",6.36,1.79,8.02,14.27,-1.08
Total Operating Expense,33.43,26.31,29.52,34.88,17.31
Operating Income,-11.88,-11.63,-10.58,-17.30,-2.13
"Interest Inc.(Exp.),Net-Non-Op., Total",0.72,0.27,0.05,0.00,-0.06
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-11.16,-11.36,-10.53,-17.30,-2.19
Provision for Income Taxes,-0.00,0.11,0.20,0.16,0.32
Net Income After Taxes,-11.16,-11.47,-10.73,-17.46,-2.52
Net Income Before Extra. Items,-8.04,-7.41,-10.15,-17.47,-2.17
Net Income,-16.53,-7.71,-14.75,-17.47,-2.17
Income Available to Com Excl ExtraOrd,-8.04,-7.41,-10.15,-17.47,-2.17
Income Available to Com Incl ExtraOrd,-16.53,-7.71,-14.75,-17.47,-2.17
Diluted Net Income,-16.53,-7.71,-14.75,-17.47,-2.17
Diluted Weighted Average Shares,1128.79,7626.16,11467.72,12632.51,12632.51
Diluted EPS Excluding ExtraOrd Items,-0.01,-0.00,-0.00,-0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.01,-0.00,-0.00,-0.00,-0.00
