Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,5.80,6.38,0.25,0.67,0.99
Total Revenue,5.80,6.38,0.25,0.67,0.99
"Selling/General/Admin. Expenses, Total",6.77,7.59,7.40,7.85,8.61
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.18,0,0,0,0
"Other Operating Expenses, Total",-3.97,-1.96,-1.55,-0.57,-0.96
Total Operating Expense,13.58,13.96,15.48,13.94,11.48
Operating Income,-7.78,-7.58,-15.24,-13.27,-10.50
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-7.78,-7.58,-15.24,-13.27,-10.50
Provision for Income Taxes,-0.08,-0.19,0.05,-0.02,0.00
Net Income After Taxes,-7.70,-7.39,-15.29,-13.25,-10.50
Net Income Before Extra. Items,-7.70,-7.39,-15.29,-13.25,-10.50
Net Income,-7.70,-7.39,-15.09,-2.99,-10.50
Income Available to Com Excl ExtraOrd,-7.70,-7.39,-15.29,-13.25,-10.50
Income Available to Com Incl ExtraOrd,-7.70,-7.39,-15.09,-2.99,-10.50
Diluted Net Income,-7.70,-7.39,-15.09,-2.99,-10.50
Diluted Weighted Average Shares,602.65,646.18,649.36,651.66,655.16
Diluted EPS Excluding ExtraOrd Items,-0.01,-0.01,-0.02,-0.02,-0.02
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.01,-0.01,-0.02,-0.02,-0.02
