Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,12.76,11.57,10.87,8.98,19.32
Total Revenue,12.76,11.57,10.87,8.98,19.32
"Selling/General/Admin. Expenses, Total",5.15,5.70,6.32,5.78,5.52
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.13,0.00,0,0,0
"Other Operating Expenses, Total",-1.61,3.05,-0.19,-0.05,-0.29
Total Operating Expense,10.14,14.62,12.14,10.23,16.99
Operating Income,2.62,-3.05,-1.26,-1.24,2.34
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.04,0.11,-0.05,0.01,-0.04
"Other, Net",0,0,0,0,0
Net Income Before Taxes,2.58,-2.94,-1.32,-1.24,2.29
Provision for Income Taxes,0.32,-0.44,-0.02,-0.03,0.25
Net Income After Taxes,2.26,-2.50,-1.29,-1.21,2.04
Net Income Before Extra. Items,2.26,-2.50,-1.29,-1.21,2.04
Net Income,2.26,-2.50,-1.29,-1.21,2.04
Income Available to Com Excl ExtraOrd,2.26,-2.50,-1.29,-1.21,2.04
Income Available to Com Incl ExtraOrd,2.26,-2.50,-1.29,-1.21,2.04
Diluted Net Income,2.26,-2.50,-1.29,-1.21,2.04
Diluted Weighted Average Shares,486.00,486.00,485.00,484.84,484.84
Diluted EPS Excluding ExtraOrd Items,0.00,-0.01,-0.00,-0.00,0.00
DPS - Common Stock Primary Issue,0.00,0,0,0,0
Diluted Normalised EPS,0.00,-0.01,-0.00,-0.00,0.00
