Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0.33,0.43,0.44,0.43,0.34
Cash and Short Term Investments,59.60,51.69,47.02,47.01,28.09
"Accounts Receivable - Trade, Net",0.90,1.91,2.32,2.63,2.59
"Total Receivables, Net",1.30,2.41,3.83,6.90,4.77
Prepaid Expenses,1.09,2.63,3.34,2.74,1.82
"Other Current Assets, Total",3.63,4.00,4.56,4.47,4.56
Total Current Assets,66.72,62.20,60.28,62.83,41.64
"Property/Plant/Equipment, Total - Gross",39.04,43.52,47.71,50.28,81.97
"Accumulated Depreciation, Total",-21.03,-24.14,-26.90,-28.51,-35.11
"Property/Plant/Equipment, Total - Net",18.01,19.38,20.81,21.76,46.86
"Goodwill, Net",0.78,0.78,0.78,0.78,1.62
"Intangibles, Net",0.24,0.24,0.24,0.24,0.46
Long Term Investments,0.49,0.63,5.85,4.72,4.61
Total Assets,86.24,83.23,87.96,90.33,96.00
Accounts Payable,4.51,4.75,4.21,4.14,2.05
Accrued Expenses,7.48,3.41,6.43,6.12,3.32
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,1.58
"Other Current liabilities, Total",6.84,6.29,7.52,7.72,6.16
Total Current Liabilities,18.92,14.45,18.15,17.99,24.89
Total Long Term Debt,0.51,0.00,0.00,0.00,13.42
Total Debt,0.60,0.00,0.00,0.00,26.77
Deferred Income Tax,0.30,0.30,0.30,0.37,0.37
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,21.46,17.98,22.58,21.60,40.66
"Common Stock, Total",48.44,48.55,48.81,48.81,48.81
Retained Earnings (Accumulated Deficit),16.45,16.81,16.93,20.90,7.17
Treasury Stock - Common,0,0,0.00,-0.45,-0.44
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-0.11,-0.11,-0.35,-0.52,-0.19
Total Equity,64.78,65.25,65.38,68.74,55.34
Total Liabilities & Shareholders' Equity,86.24,83.23,87.96,90.33,96.00
Total Common Shares Outstanding,641.33,641.48,641.83,641.83,641.83
"Tangible Book Value per Share, Common Eq",0.10,0.10,0.10,0.11,0.08
