Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,18.44,17.82,13.49,13.95,-9.97
Depreciation/Depletion,3.52,4.58,4.83,5.44,17.08
Non-Cash Items,-0.56,-0.11,-0.03,0.62,5.56
Cash Taxes Paid,1.59,2.93,3.09,2.88,2.01
Changes in Working Capital,-1.50,-10.60,-2.09,-5.42,-7.45
Cash from Operating Activities,19.90,11.69,16.21,14.59,5.25
Capital Expenditures,-7.89,-5.88,-6.22,-6.13,-8.32
"Other Investing Cash Flow Items, Total",0.33,-0.08,-5.10,-0.78,-1.29
Cash from Investing Activities,-7.56,-5.96,-11.32,-6.91,-9.60
Total Cash Dividends Paid,-51.74,-14.11,-10.91,-7.69,-4.49
"Issuance (Retirement) of Stock, Net",38.84,1.00,1.31,0.00,0.54
Cash from Financing Activities,-13.13,-13.71,-9.60,-7.69,-14.52
Foreign Exchange Effects,0,-0.02,0.03,-0.00,0.04
Net Change in Cash,-0.80,-8.00,-4.68,-0.01,-18.83
