Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,136.75,145.10,153.69,153.63,97.57
Total Revenue,136.75,145.10,153.69,153.63,97.57
"Selling/General/Admin. Expenses, Total",55.91,60.63,67.40,66.89,46.87
Depreciation/Amortisation,3.52,4.58,4.83,5.44,17.11
Unusual Expense (Income),-0.01,0.18,-0.42,0.27,3.82
"Other Operating Expenses, Total",8.98,9.12,10.93,10.40,1.80
Total Operating Expense,118.42,127.41,140.08,138.86,107.25
Operating Income,18.33,17.69,13.61,14.78,-9.68
"Interest Inc.(Exp.),Net-Non-Op., Total",0.11,0.13,-0.12,-0.82,-0.30
"Other, Net",0,0,0,0,0
Net Income Before Taxes,18.44,17.82,13.49,13.95,-9.97
Provision for Income Taxes,2.73,2.78,2.88,3.10,-0.10
Net Income After Taxes,15.71,15.04,10.62,10.86,-9.87
Net Income Before Extra. Items,15.51,14.47,11.02,11.67,-8.17
Net Income,15.51,14.47,11.02,11.67,-8.17
Income Available to Com Excl ExtraOrd,15.51,14.47,11.02,11.67,-8.17
Income Available to Com Incl ExtraOrd,15.51,14.47,11.02,11.67,-8.17
Diluted Net Income,15.51,14.47,11.02,11.67,-8.17
Diluted Weighted Average Shares,641.33,641.41,641.69,639.32,640.57
Diluted EPS Excluding ExtraOrd Items,0.02,0.02,0.02,0.02,-0.01
DPS - Common Stock Primary Issue,0.01,0.01,0.01,0.01,0
Diluted Normalised EPS,0.02,0.02,0.02,0.02,-0.01
