Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,9.20,9.92,0.00,35.67,13.58
Total Revenue,9.20,9.92,0.00,35.67,13.58
"Selling/General/Admin. Expenses, Total",3.57,3.64,0.77,4.56,5.15
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0.00,0.02,0.01,0.51
"Other Operating Expenses, Total",-2.14,-1.13,-0.64,-0.32,-1.26
Total Operating Expense,11.14,13.42,0.26,9.83,10.63
Operating Income,-1.94,-3.50,-0.26,25.85,2.95
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-0.40,-0.02,-0.28,-0.27
"Other, Net",0,0,0.00,-0.11,0.00
Net Income Before Taxes,-1.94,-3.90,-0.29,25.47,2.69
Provision for Income Taxes,0.01,-0.03,0.00,4.75,1.17
Net Income After Taxes,-1.95,-3.88,-0.29,20.72,1.51
Net Income Before Extra. Items,-1.91,-3.85,-0.29,15.94,0.44
Net Income,-1.91,-3.85,-3.55,13.10,0.66
Income Available to Com Excl ExtraOrd,-1.91,-3.85,-0.29,15.94,0.44
Income Available to Com Incl ExtraOrd,-1.91,-3.85,-3.55,13.10,0.66
Diluted Net Income,-1.91,-3.85,-3.55,13.10,0.66
Diluted Weighted Average Shares,126.93,132.00,132.00,220.72,237.06
Diluted EPS Excluding ExtraOrd Items,-0.02,-0.03,-0.00,0.07,0.00
DPS - Common Stock Primary Issue,0.00,0,0,0.00,0
Diluted Normalised EPS,-0.01,-0.03,-0.00,0.07,0.00
