Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,27.74,-37.43,26.08,30.00,35.82
Depreciation/Depletion,5.19,5.50,6.09,10.33,15.17
Non-Cash Items,1.86,44.73,2.94,1.05,4.36
Cash Taxes Paid,3.68,4.50,8.54,4.66,6.59
Changes in Working Capital,21.71,-37.69,10.62,-32.82,-19.21
Cash from Operating Activities,58.40,-23.05,47.49,11.83,40.11
Capital Expenditures,-7.37,-8.13,-6.55,-10.46,-9.56
"Other Investing Cash Flow Items, Total",-20.96,-2.32,-0.90,-71.74,-0.09
Cash from Investing Activities,-28.33,-10.45,-7.45,-82.20,-9.65
Total Cash Dividends Paid,-14.19,-14.19,-14.15,-13.97,-14.06
"Issuance (Retirement) of Stock, Net",0,0.00,-3.33,-2.13,0.00
Cash from Financing Activities,-49.21,-3.80,-12.77,47.82,-32.12
Foreign Exchange Effects,0.20,-6.57,-0.12,-0.85,0.40
Net Change in Cash,-18.94,-43.87,27.14,-23.40,-1.26
