Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,5.34,2.47,2.89,4.59,5.34
Cash and Short Term Investments,42.62,59.57,18.93,34.36,53.79
"Accounts Receivable - Trade, Net",17.81,19.20,11.68,18.20,20.45
"Total Receivables, Net",19.29,20.26,13.94,21.70,23.18
Prepaid Expenses,1.66,3.17,1.21,0.38,0.30
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,95.29,132.64,104.51,108.18,131.20
"Property/Plant/Equipment, Total - Gross",152.75,164.00,181.88,190.48,200.74
"Accumulated Depreciation, Total",-121.04,-125.22,-128.51,-133.94,-139.67
"Property/Plant/Equipment, Total - Net",31.70,38.78,53.37,56.54,61.07
"Goodwill, Net",80.08,82.20,82.20,81.21,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,2.28,2.24,31.60,41.23,37.11
Total Assets,210.19,259.15,275.03,287.21,309.54
Accounts Payable,11.05,7.14,4.44,8.30,9.56
Accrued Expenses,4.59,9.07,7.86,6.91,9.93
Notes Payable/Short Term Debt,0.25,19.00,21.70,10.74,17.11
"Other Current liabilities, Total",3.13,5.15,4.14,6.31,9.33
Total Current Liabilities,19.02,40.36,38.14,32.51,46.18
Total Long Term Debt,0.00,3.16,3.42,7.28,8.09
Total Debt,0.25,22.16,25.12,18.28,25.46
Deferred Income Tax,1.24,1.43,2.61,2.13,1.91
"Other Liabilities, Total",0.43,0.41,0.41,0.41,0.41
Total Liabilities,20.70,44.05,46.48,43.95,58.25
"Common Stock, Total",136.62,136.62,136.62,136.62,136.62
Retained Earnings (Accumulated Deficit),63.83,89.05,102.61,117.47,127.27
Treasury Stock - Common,0,0,0,0,-1.92
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-10.96,-10.56,-10.68,-10.82,-10.68
Total Equity,189.49,215.11,228.55,243.27,251.29
Total Liabilities & Shareholders' Equity,210.19,259.15,275.03,287.21,309.54
Total Common Shares Outstanding,536.43,536.43,536.43,536.43,533.43
"Tangible Book Value per Share, Common Eq",0.20,0.25,0.27,0.30,0.47
