Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,0.99,0.93,0.74,0.18,0.68
Total Revenue,0.99,0.93,0.74,0.18,0.68
"Selling/General/Admin. Expenses, Total",0.89,0.56,0.44,0.44,2.52
Depreciation/Amortisation,0.35,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",-0.35,0.49,0.68,0.69,0.84
Total Operating Expense,0.89,1.05,1.12,1.13,3.37
Operating Income,0.10,-0.12,-0.39,-0.95,-2.69
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.02,-0.03,-0.03,-0.11,-0.10
"Other, Net",0,0,0,0,0
Net Income Before Taxes,0.08,-0.15,-0.41,-1.06,-2.79
Provision for Income Taxes,0.20,0.01,0.11,-0.10,0.00
Net Income After Taxes,-0.13,-0.16,-0.52,-0.96,-2.79
Net Income Before Extra. Items,-0.13,-0.16,-0.52,-0.96,-2.76
Net Income,-6.37,-0.41,-0.52,-0.96,-2.76
Income Available to Com Excl ExtraOrd,-0.13,-0.16,-0.52,-0.96,-2.76
Income Available to Com Incl ExtraOrd,-6.37,-0.41,-0.52,-0.96,-2.76
Diluted Net Income,-6.37,-0.41,-0.52,-0.96,-2.76
Diluted Weighted Average Shares,668.27,668.27,668.27,668.27,769.72
Diluted EPS Excluding ExtraOrd Items,-0.00,-0.00,-0.00,-0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.00,-0.00,-0.00,-0.00,-0.00
