Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,4.95,8.91,10.33,7.71,4.75
Total Revenue,4.95,8.91,10.33,7.71,4.75
"Selling/General/Admin. Expenses, Total",1.94,4.18,5.29,5.34,5.66
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,-0.70
"Other Operating Expenses, Total",0.01,0.35,0.14,-0.06,0.03
Total Operating Expense,4.91,10.57,11.67,9.62,7.57
Operating Income,0.03,-1.66,-1.34,-1.91,-2.82
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.02,-0.01,-0.08,1.15,-0.35
"Other, Net",0,0,0,0,0
Net Income Before Taxes,0.02,-1.66,-1.42,-0.76,-3.18
Provision for Income Taxes,0.00,0.00,0.00,0.00,0.00
Net Income After Taxes,0.02,-1.66,-1.42,-0.76,-3.18
Net Income Before Extra. Items,0.02,-1.66,-1.42,-0.76,-3.18
Net Income,-0.30,-1.07,-1.42,-0.76,-3.18
Income Available to Com Excl ExtraOrd,0.02,-1.66,-1.42,-0.76,-3.18
Income Available to Com Incl ExtraOrd,-0.30,-1.07,-1.42,-0.76,-3.18
Diluted Net Income,-0.30,-1.07,-1.42,-0.76,-3.18
Diluted Weighted Average Shares,546.39,557.52,557.52,557.52,577.41
Diluted EPS Excluding ExtraOrd Items,0.00,-0.00,-0.00,-0.00,-0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.00,-0.00,-0.00,-0.00,-0.01
