Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,1.02,1.88,-19.49,-12.71,-2.09
Depreciation/Depletion,3.12,1.93,2.60,2.87,2.82
Non-Cash Items,1.94,0.91,18.76,15.38,6.87
Cash Taxes Paid,0.40,0.44,0.24,0.14,0.55
Changes in Working Capital,-2.93,-5.81,-2.77,-3.20,-4.18
Cash from Operating Activities,3.14,-1.09,-0.90,2.34,3.42
Capital Expenditures,-0.22,-0.44,-0.45,-0.19,-0.54
"Other Investing Cash Flow Items, Total",4.24,0.00,0.04,0.00,0.01
Cash from Investing Activities,4.02,-0.44,-0.42,-0.19,-0.53
Total Cash Dividends Paid,0.00,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,0.00,3.83,0.00,0
Cash from Financing Activities,-8.43,-0.04,1.04,-1.52,-1.65
Foreign Exchange Effects,0.05,-0.07,0.04,-0.04,-0.03
Net Change in Cash,-1.23,-1.65,-0.24,0.59,1.20
