Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,132.98,437.67,290.81,-675.50,-184.56
Depreciation/Depletion,6.65,6.58,6.18,4.60,3.05
Non-Cash Items,6.61,-308.29,-183.12,666.23,196.48
Cash Taxes Paid,40.60,36.17,20.70,0.44,-0.15
Changes in Working Capital,-370.52,-44.56,788.45,820.34,-140.58
Cash from Operating Activities,-224.28,91.39,902.32,815.67,-125.62
Capital Expenditures,-0.64,-0.78,-0.48,-0.93,-0.63
"Other Investing Cash Flow Items, Total",0.00,-0.48,0.00,-92.16,0.50
Cash from Investing Activities,-0.64,-1.26,-0.48,-93.10,-0.13
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,271.70,147.54,-981.87,-475.74,-122.37
Foreign Exchange Effects,-1.77,-0.37,-1.34,-3.19,13.56
Net Change in Cash,45.01,237.30,-81.37,243.65,-234.55
