Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,2.23,4.20,4.27,3.98,5.26
Depreciation/Depletion,1.46,1.17,0.91,1.23,1.24
Non-Cash Items,1.25,-1.68,1.16,0.81,-0.37
Cash Taxes Paid,1.41,0.75,1.34,1.08,0.76
Changes in Working Capital,-1.45,-4.83,-3.73,0.58,0.00
Cash from Operating Activities,3.49,-1.14,2.61,6.61,6.13
Capital Expenditures,-0.51,-0.56,-0.75,-0.46,-2.82
"Other Investing Cash Flow Items, Total",2.77,0.39,0.71,0.72,0.47
Cash from Investing Activities,2.26,-0.17,-0.04,0.26,-2.35
Total Cash Dividends Paid,-1.60,-1.60,-1.87,-1.73,-2.00
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-5.18,-0.80,0.33,-4.13,-2.77
Foreign Exchange Effects,-0.10,-0.06,-0.04,-0.05,0.03
Net Change in Cash,0.47,-2.18,2.85,2.68,1.03
