Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-1.59,-8.77,-5.53,0.12,-1.94
Depreciation/Depletion,3.04,2.76,2.57,3.12,2.87
Non-Cash Items,-1.08,2.26,0.65,0.67,0.32
Cash Taxes Paid,0.26,0.00,-0.00,-0.00,0.00
Changes in Working Capital,0.58,2.74,1.00,1.46,-0.77
Cash from Operating Activities,1.61,-0.38,-1.31,5.37,0.48
Capital Expenditures,-1.34,-2.29,-1.84,-1.54,-0.39
"Other Investing Cash Flow Items, Total",0.65,0.57,0.16,-1.00,4.90
Cash from Investing Activities,-0.69,-1.72,-1.68,-2.54,4.51
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,0,0,0,0
Cash from Financing Activities,-3.05,-0.92,0.70,-2.79,-3.02
Foreign Exchange Effects,-0.18,0.02,0.00,0.02,2.19
Net Change in Cash,-2.30,-3.00,-2.28,0.06,4.16
