Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,5.58,-4.70,-1.70,-1.12,-0.93
Depreciation/Depletion,0.30,0.10,0.01,0.10,0.10
Non-Cash Items,-7.28,2.02,-0.55,-0.62,1.32
Cash Taxes Paid,0,0.01,0.00,0.01,0.00
Changes in Working Capital,8.17,12.62,2.18,0.42,-1.73
Cash from Operating Activities,6.76,10.03,-0.05,-1.22,-1.24
Capital Expenditures,-0.00,-12.21,-5.80,-8.24,-10.57
"Other Investing Cash Flow Items, Total",10.85,0.82,-10.22,-6.71,-2.19
Cash from Investing Activities,10.84,-11.39,-16.01,-14.95,-12.76
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-6.82,0.19,8.04,16.62,14.23
Foreign Exchange Effects,-0.05,-0.72,-0.91,-0.14,-0.01
Net Change in Cash,10.74,-1.89,-8.94,0.31,0.23
