Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,57.56,17.56,2.37,10.79,8.82
Total Revenue,57.56,17.56,2.37,10.79,8.82
"Selling/General/Admin. Expenses, Total",6.16,6.08,7.04,5.67,4.42
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",1.14,-2.53,-1.77,-6.65,-1.76
Total Operating Expense,45.25,9.41,7.74,9.41,10.81
Operating Income,12.31,8.15,-5.37,1.38,-1.99
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-0.68,4.74,-1.84,0.75
"Other, Net",0,0,0,0,0
Net Income Before Taxes,12.31,7.47,-0.63,-0.45,-1.24
Provision for Income Taxes,2.07,1.98,-0.01,-0.35,-0.03
Net Income After Taxes,10.24,5.49,-0.62,-0.10,-1.21
Net Income Before Extra. Items,10.25,5.57,-0.60,-0.05,-1.13
Net Income,10.25,5.57,-0.60,-0.05,-1.13
Income Available to Com Excl ExtraOrd,10.25,5.57,-0.60,-0.05,-1.13
Income Available to Com Incl ExtraOrd,10.25,5.57,-0.60,-0.05,-1.13
Diluted Net Income,10.25,5.57,-0.60,-0.05,-1.13
Diluted Weighted Average Shares,305.46,328.35,342.62,349.57,352.46
Diluted EPS Excluding ExtraOrd Items,0.03,0.02,-0.00,-0.00,-0.00
DPS - Common Stock Primary Issue,0.01,0.01,0.00,0.00,0.00
Diluted Normalised EPS,0.03,0.02,-0.00,-0.00,-0.00
