Fiscal Year,2015,2016,2016.1,2017,2018
Period Ended,31 Mar 2015,31 Mar 2016,30 Jun 2016,30 Jun 2017,30 Jun 2018
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,97.46,29.57,24.62,9.52,4.58
"Accounts Receivable - Trade, Net",105.60,90.83,84.99,59.36,48.86
"Total Receivables, Net",190.49,170.24,131.82,93.72,75.60
Prepaid Expenses,1.86,0,2.77,0.89,0
"Other Current Assets, Total",37.49,0,1.87,7.24,114.85
Total Current Assets,327.74,202.53,161.47,112.38,195.31
"Property/Plant/Equipment, Total - Gross",514.36,0,526.34,522.31,0
"Accumulated Depreciation, Total",-77.86,0,-119.77,-232.25,0
"Property/Plant/Equipment, Total - Net",436.62,425.38,406.69,290.07,151.17
"Goodwill, Net",6.38,7.58,5.05,0.00,0
"Intangibles, Net",2.94,2.93,2.93,0.19,0.19
Long Term Investments,48.25,52.58,49.62,45.00,10.53
Total Assets,845.75,691.37,652.37,460.71,366.51
Accounts Payable,57.10,33.85,29.18,18.54,13.34
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,36.36,0.00
"Other Current liabilities, Total",54.26,57.12,32.45,37.57,79.07
Total Current Liabilities,288.45,195.55,147.07,228.50,206.71
Total Long Term Debt,203.02,105.70,120.76,0.22,36.85
Total Debt,380.12,210.27,206.22,172.61,151.15
Deferred Income Tax,14.93,14.34,18.79,8.93,5.10
"Other Liabilities, Total",29.23,27.57,27.32,34.14,20.84
Total Liabilities,592.79,394.90,370.25,330.33,311.05
"Common Stock, Total",229.53,229.53,229.53,229.53,231.01
Retained Earnings (Accumulated Deficit),27.36,71.02,56.98,-94.64,-171.07
Treasury Stock - Common,-3.76,-3.76,-4.02,-4.11,-4.11
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-0.17,-0.33,-0.37,-0.40,-0.36
Total Equity,252.97,296.47,282.12,130.37,55.46
Total Liabilities & Shareholders' Equity,845.75,691.37,652.37,460.71,366.51
Total Common Shares Outstanding,809.50,809.50,807.44,806.63,876.63
"Tangible Book Value per Share, Common Eq",0.30,0.35,0.34,0.16,0.06
