Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0.00,0,0,0,0
Cash and Short Term Investments,7.34,2.90,6.03,4.21,4.46
"Accounts Receivable - Trade, Net",16.90,13.31,15.09,3.16,3.34
"Total Receivables, Net",16.90,13.31,15.09,3.16,3.34
Prepaid Expenses,0.12,0.39,0.13,0.27,0.10
"Other Current Assets, Total",0.16,0.25,0.17,0.17,0.09
Total Current Assets,25.91,18.88,24.44,11.66,11.38
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",1.13,1.06,1.98,2.64,2.64
"Goodwill, Net",0.00,0.00,0,0,0
"Intangibles, Net",0.00,0.00,0,0,0
Long Term Investments,0,0,0,0,0
Total Assets,27.04,19.94,26.42,14.30,14.02
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",0.20,0.00,1.07,0.23,0.18
Total Current Liabilities,14.47,9.72,12.79,7.41,7.32
Total Long Term Debt,0.05,0.00,0.28,0.69,0.60
Total Debt,0.15,0.00,0.49,1.17,1.18
Deferred Income Tax,0.11,0.00,0.06,0.00,0
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,14.69,9.76,13.23,8.20,8.01
"Common Stock, Total",18.19,18.19,20.32,20.32,20.32
Retained Earnings (Accumulated Deficit),-4.11,-6.53,-5.66,-12.82,-12.80
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-1.73,-1.50,-1.47,-1.40,-1.51
Total Equity,12.35,10.17,13.19,6.10,6.01
Total Liabilities & Shareholders' Equity,27.04,19.94,26.42,14.30,14.02
Total Common Shares Outstanding,373.29,373.29,498.50,498.50,498.50
"Tangible Book Value per Share, Common Eq",0.03,0.03,0.03,0.01,0.01
