Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,46.78,12.04,20.54,12.25,9.52
Total Revenue,46.78,12.04,20.54,12.25,9.52
"Selling/General/Admin. Expenses, Total",5.18,4.68,4.61,4.27,2.74
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0.00,-0.26,-0.48
"Other Operating Expenses, Total",4.09,1.53,0.58,7.18,0.78
Total Operating Expense,48.66,14.55,19.20,19.26,9.42
Operating Income,-1.88,-2.51,1.35,-7.01,0.10
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-0.02,-0.06,-0.05
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-1.88,-2.51,1.33,-7.07,0.06
Provision for Income Taxes,0.46,-0.09,0.22,0.10,0.01
Net Income After Taxes,-2.34,-2.42,1.10,-7.18,0.05
Net Income Before Extra. Items,-2.32,-2.42,1.12,-7.16,0.02
Net Income,-2.32,-2.42,1.12,-7.16,0.02
Income Available to Com Excl ExtraOrd,-2.32,-2.42,1.12,-7.16,0.02
Income Available to Com Incl ExtraOrd,-2.32,-2.42,1.12,-7.16,0.02
Diluted Net Income,-2.32,-2.42,1.12,-7.16,0.02
Diluted Weighted Average Shares,373.29,373.29,467.20,498.50,498.50
Diluted EPS Excluding ExtraOrd Items,-0.01,-0.01,0.00,-0.01,0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.00,-0.01,0.00,-0.01,-0.00
