Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,45.49,38.54,34.00,41.35,24.81
Depreciation/Depletion,0.27,0.37,0.38,3.43,3.51
Non-Cash Items,2.90,1.58,0.82,0.36,6.17
Cash Taxes Paid,8.34,8.59,7.34,6.77,5.71
Changes in Working Capital,-3.84,-9.50,-5.12,-9.25,-3.21
Cash from Operating Activities,44.82,30.99,30.08,35.88,31.27
Capital Expenditures,-0.25,-0.53,-3.93,-2.13,-1.95
"Other Investing Cash Flow Items, Total",0.00,0,0,0.13,-6.49
Cash from Investing Activities,-0.25,-0.53,-3.93,-2.00,-8.45
Total Cash Dividends Paid,-30.13,-25.00,-28.01,-27.14,-25.04
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-30.13,-23.40,-23.21,-27.18,-24.10
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,14.43,7.06,2.94,6.71,-1.27
