Fiscal Year,2017,2018,2019,2020,2021
Period Ended,28 Feb 2017,28 Feb 2018,28 Feb 2019,29 Feb 2020,28 Feb 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-1.89,0.21,0.47,-1.18,1.22
Depreciation/Depletion,0.25,0.24,0.24,0.64,0.59
Non-Cash Items,0.11,2.14,-0.01,-1.24,0.75
Cash Taxes Paid,0.03,0.14,0.20,-0.01,0.36
Changes in Working Capital,0.62,-2.58,0.10,0.65,-1.77
Cash from Operating Activities,-0.91,0.00,0.80,-1.13,0.79
Capital Expenditures,-0.02,-0.05,-0.23,-0.23,-0.13
"Other Investing Cash Flow Items, Total",0.00,0.05,0.00,0.03,0.07
Cash from Investing Activities,-0.02,-0.00,-0.22,-0.20,-0.07
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",2.81,2.20,2.24,0.00,0
Cash from Financing Activities,0.20,1.02,2.24,-0.33,-0.30
Foreign Exchange Effects,0.00,-0.04,0.02,0.04,-0.02
Net Change in Cash,-0.72,0.98,2.84,-1.62,0.41
