Fiscal Year,2017,2018,2019,2020,2021
Period Ended,28 Feb 2017,28 Feb 2018,28 Feb 2019,29 Feb 2020,28 Feb 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,13.29,13.22,15.09,14.01,17.28
Total Revenue,13.29,13.22,15.09,14.01,17.28
"Selling/General/Admin. Expenses, Total",4.44,3.43,3.81,3.78,3.01
Depreciation/Amortisation,0,0,0,0,0.48
Unusual Expense (Income),0,-0.04,-0.00,0.00,0.10
"Other Operating Expenses, Total",-0.10,-0.24,0.10,0.04,-0.72
Total Operating Expense,15.05,12.85,14.46,14.99,15.92
Operating Income,-1.76,0.37,0.63,-0.98,1.35
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.13,-0.16,-0.16,-0.20,-0.13
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-1.89,0.21,0.47,-1.18,1.22
Provision for Income Taxes,0.01,0.14,0.14,0.18,0.34
Net Income After Taxes,-1.90,0.06,0.33,-1.36,0.88
Net Income Before Extra. Items,-1.88,0.03,0.24,-1.38,0.82
Net Income,-1.88,0.03,0.24,-1.38,0.82
Income Available to Com Excl ExtraOrd,-1.88,0.03,0.24,-1.38,0.82
Income Available to Com Incl ExtraOrd,-1.88,0.03,0.24,-1.38,0.82
Diluted Net Income,-1.88,0.03,0.24,-1.38,0.82
Diluted Weighted Average Shares,226.94,629.65,3754.77,4962.17,4962.17
Diluted EPS Excluding ExtraOrd Items,-0.01,0.00,0.00,-0.00,0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.01,0.00,0.00,-0.00,0.00
