Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-258.92,4.57,13.48,2.30,-59.51
Depreciation/Depletion,14.14,9.64,8.81,5.83,7.61
Non-Cash Items,241.46,13.02,31.09,1.41,53.64
Cash Taxes Paid,2.05,3.02,1.01,1.02,1.19
Changes in Working Capital,1.46,-26.49,-15.60,-38.95,5.97
Cash from Operating Activities,1.71,3.58,39.82,-28.47,8.89
Capital Expenditures,-25.87,-8.69,-5.78,-5.44,-1.34
"Other Investing Cash Flow Items, Total",18.69,6.28,12.75,4.44,1.52
Cash from Investing Activities,-7.19,-2.41,6.97,-1.00,0.18
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,46.35,0.00
Cash from Financing Activities,9.11,10.21,-31.91,7.22,-2.51
Foreign Exchange Effects,-0.13,0.08,-0.23,0.11,0.07
Net Change in Cash,3.50,11.47,14.65,-22.14,6.63
