Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,2.86,-2.04,-1.58,-3.51,-5.03
Depreciation/Depletion,0.48,0.65,0.67,1.38,1.40
Non-Cash Items,0.09,-1.48,0.90,0.49,0.36
Cash Taxes Paid,0,0.02,-0.01,0.00,0
Changes in Working Capital,-2.64,-9.96,-0.28,8.13,6.69
Cash from Operating Activities,0.78,-12.83,-0.29,6.49,3.42
Capital Expenditures,-0.56,-0.61,-0.11,-0.28,-0.20
"Other Investing Cash Flow Items, Total",-0.32,0.02,0.01,-0.02,-0.10
Cash from Investing Activities,-0.88,-0.59,-0.10,-0.29,-0.30
Total Cash Dividends Paid,0,-1.01,0.00,0,0
"Issuance (Retirement) of Stock, Net",0.64,1.59,0.37,0.00,0
Cash from Financing Activities,2.00,6.44,-1.79,-17.09,4.75
Foreign Exchange Effects,-0.15,0.23,-0.06,-0.02,0.03
Net Change in Cash,1.75,-6.75,-2.24,-10.92,7.90
