Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-15.88,-4.14,-14.32,-5.66,-13.34
Depreciation/Depletion,0.01,0.01,0.06,0.12,0.99
Non-Cash Items,17.47,4.37,7.33,-1.28,7.52
Cash Taxes Paid,0.07,1.56,3.50,0.00,0.00
Changes in Working Capital,0.71,-0.95,3.43,2.78,3.92
Cash from Operating Activities,2.32,-0.70,-1.21,-1.53,1.62
Capital Expenditures,-0.05,-0.00,-12.19,-5.32,-3.16
"Other Investing Cash Flow Items, Total",-20.98,10.48,5.91,0.02,0.01
Cash from Investing Activities,-21.03,10.48,-6.28,-5.30,-3.15
Total Cash Dividends Paid,-0.49,0.00,0,0,0
"Issuance (Retirement) of Stock, Net",-0.06,0.00,36.38,0.00,0
Cash from Financing Activities,13.36,-13.85,15.47,0.00,-0.05
Foreign Exchange Effects,0.08,-0.03,0,0,0
Net Change in Cash,-5.27,-4.10,7.98,-6.83,-1.57
