Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,4.74,4.87,0.88,0.12,1.49
Total Revenue,4.74,4.87,0.88,0.12,1.49
"Selling/General/Admin. Expenses, Total",0,0,5.72,1.09,1.39
Depreciation/Amortisation,0.01,0.01,2.20,2.41,3.34
Unusual Expense (Income),0,0.04,0,0,0.03
"Other Operating Expenses, Total",1.33,2.42,-1.78,2.27,10.07
Total Operating Expense,20.62,9.00,14.77,5.77,14.82
Operating Income,-15.88,-4.14,-13.90,-5.66,-13.34
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-0.42,0.00,-0.00
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-15.88,-4.14,-14.32,-5.66,-13.34
Provision for Income Taxes,-3.51,2.55,0.55,-0.57,-0.49
Net Income After Taxes,-12.38,-6.69,-14.87,-5.08,-12.85
Net Income Before Extra. Items,-12.38,-6.69,-13.46,-3.47,-10.99
Net Income,-12.38,-6.69,-13.46,-3.47,-10.99
Income Available to Com Excl ExtraOrd,-12.38,-6.69,-13.46,-3.47,-10.99
Income Available to Com Incl ExtraOrd,-12.38,-6.69,-13.46,-3.47,-10.99
Diluted Net Income,-12.38,-6.69,-13.46,-3.47,-10.99
Diluted Weighted Average Shares,489.50,489.00,747.94,789.09,789.00
Diluted EPS Excluding ExtraOrd Items,-0.03,-0.01,-0.02,-0.00,-0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.03,-0.01,-0.02,-0.00,-0.01
