Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,0,0,0,0,0
Depreciation/Depletion,0,0,0,0,0
Non-Cash Items,0,0,0,0,0
Cash Taxes Paid,0,0,-2.01,-0.05,0.00
Changes in Working Capital,-19.60,0.00,-4.25,0.00,0
Cash from Operating Activities,-19.60,-4.20,-28.74,-8.09,-6.00
Capital Expenditures,-1.06,-0.03,-0.10,-0.01,0.00
"Other Investing Cash Flow Items, Total",0.01,0.00,46.11,0.40,5.25
Cash from Investing Activities,-1.05,-0.03,46.02,0.39,5.25
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.05,1.84,1.13,0.00,0
Cash from Financing Activities,12.48,4.28,-6.64,-1.52,0.27
Foreign Exchange Effects,-0.00,-0.03,-0.23,-0.03,-0.06
Net Change in Cash,-3.52,0.02,10.42,-9.26,-0.53
