Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,10.65,14.31,11.17,7.95,0.56
Total Revenue,10.65,14.31,11.17,7.95,0.56
"Selling/General/Admin. Expenses, Total",18.28,12.23,8.09,4.28,3.44
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",-23.97,3.76,-44.02,-0.61,-0.25
Total Operating Expense,9.53,31.01,-18.89,17.30,7.83
Operating Income,1.11,-16.70,30.06,-9.34,-7.27
"Interest Inc.(Exp.),Net-Non-Op., Total",-13.09,-6.17,-0.48,-0.30,-0.30
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-11.98,-22.87,29.57,-9.64,-7.58
Provision for Income Taxes,-0.00,0.00,0.00,0.00,0.00
Net Income After Taxes,-11.98,-22.87,29.57,-9.64,-7.58
Net Income Before Extra. Items,-11.98,-22.87,29.57,-9.64,-7.58
Net Income,-11.98,-22.87,29.57,-9.64,-7.58
Income Available to Com Excl ExtraOrd,-11.98,-22.87,29.57,-9.64,-7.58
Income Available to Com Incl ExtraOrd,-11.98,-22.87,29.57,-9.64,-7.58
Diluted Net Income,-11.98,-22.87,29.57,-9.64,-7.58
Diluted Weighted Average Shares,935.45,1466.69,2040.89,2171.18,2171.18
Diluted EPS Excluding ExtraOrd Items,-0.01,-0.02,0.01,-0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.01,-0.02,0.01,-0.00,-0.00
