Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,PRESS,PRESS
Net Income/Starting Line,-8.31,-10.39,-5.43,-1.98,3.50
Depreciation/Depletion,2.72,1.36,0.60,0.54,0.33
Non-Cash Items,3.25,3.06,4.08,1.67,-1.83
Cash Taxes Paid,0.88,0.45,0.35,-0.29,0.46
Changes in Working Capital,1.74,5.38,-5.69,-0.20,-0.69
Cash from Operating Activities,-0.60,-0.59,-6.45,0.02,1.31
Capital Expenditures,-0.35,-0.56,-0.49,-0.11,-0.10
"Other Investing Cash Flow Items, Total",0.53,3.69,-0.11,0.04,4.98
Cash from Investing Activities,0.18,3.13,-0.60,-0.07,4.88
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",3.39,0,0,0,0
Cash from Financing Activities,-0.35,-2.37,6.60,-0.50,-4.25
Foreign Exchange Effects,0.13,-0.09,-0.01,0.13,-0.26
Net Change in Cash,-0.64,0.08,-0.47,-0.41,1.68
