Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-11.23,-5.41,0.16,-2.64,1.11
Depreciation/Depletion,1.63,1.91,2.29,6.42,6.47
Non-Cash Items,8.86,1.11,-0.44,2.68,1.00
Cash Taxes Paid,0.05,0.02,0.00,0.18,0.36
Changes in Working Capital,7.92,-2.59,-1.69,-3.19,5.60
Cash from Operating Activities,7.27,-4.87,0.59,3.45,14.30
Capital Expenditures,-2.46,-19.77,-3.98,-1.74,-1.18
"Other Investing Cash Flow Items, Total",0.41,0.03,6.52,-1.18,0.11
Cash from Investing Activities,-2.04,-19.74,2.54,-2.92,-1.07
Total Cash Dividends Paid,-16.76,0,0,0,0
"Issuance (Retirement) of Stock, Net",1.76,0,0,0,0
Cash from Financing Activities,-17.12,11.23,-3.06,-4.83,-9.94
Foreign Exchange Effects,0.03,0.03,0.01,-0.00,-0.00
Net Change in Cash,-11.87,-13.34,0.07,-4.29,3.28
