Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,393.94,127.02,107.01,101.05,35.41
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,393.94,127.02,107.01,101.05,35.41
"Accounts Receivable - Trade, Net",239.95,247.40,256.10,229.71,33.24
"Total Receivables, Net",982.22,942.45,1052.67,1204.83,66.46
Prepaid Expenses,39.71,40.14,158.36,28.65,4.07
"Other Current Assets, Total",47.60,146.43,134.02,157.99,71.61
Total Current Assets,2293.60,2107.82,2406.27,2362.37,782.55
"Property/Plant/Equipment, Total - Gross",1566.46,1595.23,1710.56,2254.46,842.55
"Accumulated Depreciation, Total",-1017.13,-1016.70,-941.44,-1056.82,-698.70
"Property/Plant/Equipment, Total - Net",549.33,578.53,769.13,1197.64,143.85
"Goodwill, Net",483.46,483.46,483.46,427.46,0.00
"Intangibles, Net",265.19,248.99,232.78,216.60,0.20
Long Term Investments,565.71,469.02,549.64,384.51,457.69
Total Assets,4760.20,4509.73,5250.35,5569.04,1391.34
Accounts Payable,149.05,215.14,350.36,225.07,11.64
Accrued Expenses,51.83,62.38,61.34,66.29,21.43
Notes Payable/Short Term Debt,728.65,721.69,957.91,974.72,0.00
"Other Current liabilities, Total",88.72,79.45,123.61,236.77,123.98
Total Current Liabilities,1458.39,1665.14,2141.21,2219.64,497.09
Total Long Term Debt,1268.68,968.28,1193.44,1599.68,7.72
Total Debt,2437.48,2276.46,2799.33,3291.19,347.77
Deferred Income Tax,94.04,89.76,102.21,101.79,1.90
"Other Liabilities, Total",72.27,74.46,81.11,128.80,58.99
Total Liabilities,3211.10,3065.61,3811.96,4322.54,579.25
"Common Stock, Total",1880.15,1948.31,1948.31,1958.55,1958.55
Retained Earnings (Accumulated Deficit),-263.40,-400.02,-463.45,-626.84,-1126.84
Treasury Stock - Common,0,0.00,-0.05,-0.05,-0.05
Unrealised Gain (Loss),-19.70,-18.84,64.18,24.12,0.00
"Other Equity, Total",-47.95,-85.33,-110.60,-109.29,-19.56
Total Equity,1549.11,1444.12,1438.39,1246.50,812.09
Total Liabilities & Shareholders' Equity,4760.20,4509.73,5250.35,5569.04,1391.34
Total Common Shares Outstanding,4824.97,5338.01,5337.56,5424.85,5424.85
"Tangible Book Value per Share, Common Eq",0.17,0.13,0.14,0.11,0.15
