Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,2404838.00,2929674.00,2228869.00,1787462.00,2446494.00
"Accounts Receivable - Trade, Net",1012017.00,1073859.00,1303488.00,1225310.00,1206083.00
"Total Receivables, Net",1122774.00,1200404.00,1395471.00,1320175.00,1300032.00
Prepaid Expenses,491322.00,462175.00,517683.00,691068.00,570825.00
"Other Current Assets, Total",0,41795.00,41795.00,41795.00,41795.00
Total Current Assets,6754405.00,7375418.00,7128839.00,6811834.00,7808443.00
"Property/Plant/Equipment, Total - Gross",31724999.00,32864647.00,34320674.00,35208512.00,36344238.00
"Accumulated Depreciation, Total",-10003101.00,-11372943.00,-12778756.00,-13345829.00,-14688804.00
"Property/Plant/Equipment, Total - Net",21721898.00,21491704.00,21541918.00,21862683.00,21655434.00
"Goodwill, Net",3253637.00,3245837.00,3245317.00,3211427.00,3211427.00
"Intangibles, Net",0,0,0,0,0
Long Term Investments,1814124.00,2253124.00,2295405.00,2612015.00,2217926.00
Total Assets,36503514.00,37414955.00,37514251.00,37612530.00,37490231.00
Accounts Payable,596978.00,621549.00,881690.00,892094.00,785034.00
Accrued Expenses,571428.00,473047.00,462378.00,550282.00,731429.00
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",1000497.00,822852.00,728473.00,788728.00,1060766.00
Total Current Liabilities,4650308.00,6380152.00,9044190.00,9172046.00,9204270.00
Total Long Term Debt,7545936.00,6067793.00,4218271.00,4693816.00,4792821.00
Total Debt,10027341.00,10530497.00,11189920.00,11634758.00,11419862.00
Deferred Income Tax,848134.00,784827.00,614776.00,613725.00,577167.00
"Other Liabilities, Total",2581084.00,2759533.00,2783821.00,2969539.00,2469045.00
Total Liabilities,24668879.00,25310589.00,25726641.00,26300538.00,26177877.00
"Common Stock, Total",3584279.00,3584279.00,3584279.00,3584279.00,3584279.00
Retained Earnings (Accumulated Deficit),8640522.00,8910253.00,8593497.00,8117879.00,8118241.00
Treasury Stock - Common,-390166.00,-390166.00,-390166.00,-390166.00,-390166.00
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,11834635.00,12104366.00,11787610.00,11311992.00,11312354.00
Total Liabilities & Shareholders' Equity,36503514.00,37414955.00,37514251.00,37612530.00,37490231.00
Total Common Shares Outstanding,1395.90,1395.90,1395.90,1395.90,1395.90
"Tangible Book Value per Share, Common Eq",6147.27,6346.09,6119.54,5803.09,5803.35
