Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,14530938.00,15725304.00,14059450.00,13650388.00,14474700.00
Total Revenue,14530938.00,15725304.00,14059450.00,13650388.00,14474700.00
"Selling/General/Admin. Expenses, Total",1495835.00,1455217.00,1409591.00,1474547.00,1246493.00
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-247800.00,483.00,113827.00,-107058.00,-1839.00
"Other Operating Expenses, Total",78653.00,34344.00,8036.00,110668.00,27095.00
Total Operating Expense,12267903.00,14047613.00,13490102.00,13142973.00,12995210.00
Operating Income,2263035.00,1677691.00,569348.00,507415.00,1479490.00
"Interest Inc.(Exp.),Net-Non-Op., Total",-573494.00,-539538.00,-615761.00,-756773.00,-661720.00
"Other, Net",0,0,0,-14064.00,-11587.00
Net Income Before Taxes,1689541.00,1138153.00,-46413.00,-263422.00,806183.00
Provision for Income Taxes,897252.00,485268.00,380102.00,446294.00,642617.00
Net Income After Taxes,792289.00,652885.00,-426515.00,-709716.00,163566.00
Net Income Before Extra. Items,506540.00,447314.00,-221764.00,-411353.00,19913.00
Net Income,506540.00,447314.00,-221764.00,-411353.00,19913.00
Income Available to Com Excl ExtraOrd,506540.00,447314.00,-221764.00,-411353.00,19913.00
Income Available to Com Incl ExtraOrd,506540.00,447314.00,-221764.00,-411353.00,19913.00
Diluted Net Income,506540.00,447314.00,-221764.00,-411353.00,19913.00
Diluted Weighted Average Shares,1395.90,1395.90,1395.90,1395.90,1395.90
Diluted EPS Excluding ExtraOrd Items,362.88,320.45,-158.87,-294.69,14.27
DPS - Common Stock Primary Issue,60.47,71.01,26.37,0.00,0
Diluted Normalised EPS,279.63,320.65,-105.86,-344.54,13.41
