Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-2.27,1.85,-0.16,0.89,0.59
Depreciation/Depletion,1.23,0.91,0.70,0.97,1.14
Non-Cash Items,0.84,-0.50,0.78,0.82,2.31
Cash Taxes Paid,0.03,0.22,0.19,0.07,0.13
Changes in Working Capital,10.70,-0.37,15.82,3.30,-1.28
Cash from Operating Activities,10.53,1.92,17.16,6.01,2.77
Capital Expenditures,-0.24,-0.63,-9.07,-1.02,-0.21
"Other Investing Cash Flow Items, Total",0.06,0.16,0.13,0.16,0.74
Cash from Investing Activities,-0.18,-0.47,-8.94,-0.86,0.53
Total Cash Dividends Paid,0.00,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-6.60,1.66,-8.85,-6.77,-0.38
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,3.76,3.11,-0.63,-1.62,2.92
