Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,PRESS
Cash,0,44.97,47.37,43.13,0
Short Term Investments,0,1.50,1.66,0.07,0
Cash and Short Term Investments,204.95,46.47,49.03,43.20,57.60
"Accounts Receivable - Trade, Net",178.90,81.52,69.26,63.60,13.65
"Total Receivables, Net",280.53,192.05,179.18,121.60,17.02
Prepaid Expenses,4.78,2.82,4.50,2.06,0
"Other Current Assets, Total",0.00,9.35,2.16,14.90,130.95
Total Current Assets,547.94,291.46,258.53,183.97,205.57
"Property/Plant/Equipment, Total - Gross",2725.68,1118.23,1148.67,1014.87,0
"Accumulated Depreciation, Total",-527.23,-133.90,-229.61,-414.14,0
"Property/Plant/Equipment, Total - Net",2198.45,984.34,919.07,600.73,68.35
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,250.39,81.92,30.35,15.18,4.75
Total Assets,3001.71,1530.25,1342.10,881.86,305.69
Accounts Payable,112.07,89.06,72.33,64.75,32.42
Accrued Expenses,15.79,64.47,28.95,30.32,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0
"Other Current liabilities, Total",35.02,46.81,58.80,182.17,1463.38
Total Current Liabilities,492.26,1243.07,172.33,1724.84,1677.63
Total Long Term Debt,1157.10,361.51,1332.30,0.82,0.00
Total Debt,1486.47,1404.25,1344.55,1448.41,181.84
Deferred Income Tax,0.00,0,0,0,0
"Other Liabilities, Total",36.97,26.36,92.22,23.66,8.66
Total Liabilities,1686.33,1630.93,1596.85,1749.31,1686.28
"Common Stock, Total",648.94,648.94,930.51,934.66,958.50
Retained Earnings (Accumulated Deficit),558.02,-892.85,-1226.80,-1841.31,-2353.84
Treasury Stock - Common,-1.48,-1.48,-1.48,-1.48,0
Unrealised Gain (Loss),0,0,0,-0.09,0
"Other Equity, Total",86.44,121.24,19.56,17.32,14.75
Total Equity,1315.38,-100.69,-254.75,-867.44,-1380.59
Total Liabilities & Shareholders' Equity,3001.71,1530.25,1342.10,881.86,305.69
Total Common Shares Outstanding,2073.84,2073.84,3707.78,3727.20,3751.10
"Tangible Book Value per Share, Common Eq",0.62,-0.06,-0.08,-0.24,-0.37
