Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,318.25,193.11,118.70,90.33,24.73
Total Revenue,318.25,193.11,118.70,90.33,24.73
"Selling/General/Admin. Expenses, Total",17.91,17.23,15.60,7.71,10.42
Depreciation/Amortisation,0.42,0.36,0.10,0.41,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",43.98,331.76,372.38,459.04,449.46
Total Operating Expense,319.31,465.09,495.11,559.43,503.50
Operating Income,-1.07,-271.98,-376.42,-469.10,-478.77
"Interest Inc.(Exp.),Net-Non-Op., Total",-29.86,-48.22,34.57,-140.25,-9.23
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-30.92,-320.20,-341.85,-609.35,-488.00
Provision for Income Taxes,2.68,2.89,2.49,5.59,0.42
Net Income After Taxes,-33.61,-323.09,-344.34,-614.94,-488.42
Net Income Before Extra. Items,-33.61,-323.09,-344.34,-614.94,-488.42
Net Income,-33.61,-323.09,-344.34,-614.94,-505.93
Income Available to Com Excl ExtraOrd,-41.24,-330.73,-345.20,-614.94,-488.42
Income Available to Com Incl ExtraOrd,-41.24,-330.73,-345.20,-614.94,-505.93
Diluted Net Income,-41.24,-330.73,-345.20,-614.94,-505.93
Diluted Weighted Average Shares,1789.75,2073.84,3149.36,3725.67,3745.85
Diluted EPS Excluding ExtraOrd Items,-0.02,-0.16,-0.11,-0.17,-0.13
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.01,-0.13,-0.09,-0.12,-0.13
