Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,2.43,4.74,5.41,1.72,9.98
Depreciation/Depletion,4.50,5.03,5.26,15.23,15.52
Non-Cash Items,3.52,0.50,0.70,3.29,1.10
Cash Taxes Paid,0.47,1.01,0.53,1.28,1.10
Changes in Working Capital,-0.93,-0.69,-0.98,-3.65,1.65
Cash from Operating Activities,9.57,9.65,10.47,16.65,28.29
Capital Expenditures,-8.30,-8.52,-2.15,-2.34,-1.28
"Other Investing Cash Flow Items, Total",0.10,-0.06,0.25,-0.56,0.52
Cash from Investing Activities,-8.20,-8.58,-1.90,-2.90,-0.75
Total Cash Dividends Paid,-7.28,-3.64,-3.64,-3.03,-1.21
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-5.23,-3.84,-5.91,-17.46,-14.09
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-3.85,-2.77,2.66,-3.70,13.44
