Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-2.51,-0.92,-1.40,-2.17,-1.17
Depreciation/Depletion,5.27,3.11,0.24,0.15,0.01
Non-Cash Items,4.21,-24.17,0.05,0.57,0.19
Cash Taxes Paid,0.99,0.11,0.01,0.00,0.00
Changes in Working Capital,-4.36,21.38,1.09,0.56,0.59
Cash from Operating Activities,2.65,-0.57,-0.02,-0.89,-0.37
Capital Expenditures,-2.73,-0.21,0.00,0,0
"Other Investing Cash Flow Items, Total",0.00,-0.67,0.00,0,0.18
Cash from Investing Activities,-2.73,-0.89,0.00,0,0.18
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-2.34,-0.52,-0.05,0.79,0.31
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-2.42,-1.98,-0.07,-0.11,0.12
