Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-26.37,-80.66,-6.61,-5.78,5.20
Depreciation/Depletion,14.00,15.53,12.85,11.98,9.95
Non-Cash Items,15.27,56.52,3.58,3.11,1.50
Cash Taxes Paid,0.01,0.09,0.48,0.20,0.00
Changes in Working Capital,6.32,25.26,0.67,8.83,-1.99
Cash from Operating Activities,9.21,16.65,10.49,18.14,14.65
Capital Expenditures,-4.14,-2.91,-7.26,-4.93,-8.00
"Other Investing Cash Flow Items, Total",-1.41,9.70,12.73,23.92,3.81
Cash from Investing Activities,-5.55,6.78,5.47,18.99,-4.19
Total Cash Dividends Paid,0.00,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,0.00,0.15,0.00,0.01
Cash from Financing Activities,-8.32,-14.45,-12.24,-34.94,-13.18
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-4.65,8.98,3.72,2.19,-2.72
