Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,7.86,7.34,9.44,9.63
Short Term Investments,0,30.77,26.04,15.07,17.78
Cash and Short Term Investments,2.78,38.63,33.38,24.51,27.41
"Accounts Receivable - Trade, Net",67.29,13.14,13.62,15.14,12.66
"Total Receivables, Net",67.46,14.59,14.40,15.61,13.49
Prepaid Expenses,0,0.43,0.40,0.52,0.45
"Other Current Assets, Total",0,1.22,0.82,0.52,1.63
Total Current Assets,72.51,58.07,51.92,44.40,46.30
"Property/Plant/Equipment, Total - Gross",0,14.57,13.09,52.97,56.89
"Accumulated Depreciation, Total",0,-6.26,-5.77,-25.91,-34.26
"Property/Plant/Equipment, Total - Net",5.00,8.31,7.32,27.07,22.64
"Goodwill, Net",0,109.62,109.92,112.01,113.58
"Intangibles, Net",115.79,32.41,32.63,32.88,33.01
Long Term Investments,0,0,0,1.97,1.73
Total Assets,194.49,210.80,204.30,220.94,219.47
Accounts Payable,0,6.18,6.54,7.00,6.67
Accrued Expenses,0,10.17,11.24,10.20,8.22
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",0.00,4.80,3.35,2.69,2.92
Total Current Liabilities,39.11,21.99,21.52,28.71,26.30
Total Long Term Debt,3.15,0.50,0.08,12.52,9.31
Total Debt,13.85,1.35,0.47,21.33,17.81
Deferred Income Tax,0.03,1.30,1.18,1.18,1.18
"Other Liabilities, Total",0.29,0.66,0.97,1.46,2.14
Total Liabilities,42.58,24.44,23.74,43.86,38.93
"Common Stock, Total",208.21,277.43,277.43,277.43,277.43
Retained Earnings (Accumulated Deficit),-56.30,-91.08,-96.87,-100.72,-96.69
Treasury Stock - Common,0.00,0,0,-0.44,-0.24
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0.80,0.03
Total Equity,151.91,186.35,180.56,177.07,180.54
Total Liabilities & Shareholders' Equity,194.49,210.80,204.30,220.94,219.47
Total Common Shares Outstanding,2460.23,4528.79,4528.79,4511.23,4511.23
"Tangible Book Value per Share, Common Eq",0.01,0.01,0.01,0.01,0.01
