Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,0.74,0.69,1.16,0.39,0.42
Depreciation/Depletion,0.06,0.18,0.21,0.37,0.63
Non-Cash Items,0.07,-0.04,-0.05,-0.24,-0.17
Cash Taxes Paid,0.12,0.04,0.04,0.16,0.05
Changes in Working Capital,1.07,1.54,2.38,2.48,-3.63
Cash from Operating Activities,1.93,2.37,3.69,3.00,-2.75
Capital Expenditures,-0.05,-0.34,-0.41,-0.29,-2.90
"Other Investing Cash Flow Items, Total",0.11,0.12,0.23,0.35,0.30
Cash from Investing Activities,0.06,-0.22,-0.17,0.05,-2.60
Total Cash Dividends Paid,-0.28,-0.19,-0.19,-0.19,-0.19
"Issuance (Retirement) of Stock, Net",-0.46,0.00,0.02,0.00,0
Cash from Financing Activities,-0.75,-0.12,-0.76,-0.39,-0.40
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,1.24,2.04,2.76,2.66,-5.75
