Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,15.13,15.83,23.82,19.90,16.86
Total Revenue,15.13,15.83,23.82,19.90,16.86
"Selling/General/Admin. Expenses, Total",4.10,4.16,4.45,5.07,6.39
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,-0.00,-1.88
"Other Operating Expenses, Total",-0.05,-0.07,-0.23,-0.31,-0.18
Total Operating Expense,14.33,15.11,22.48,19.44,16.39
Operating Income,0.80,0.72,1.34,0.47,0.48
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-0.00,-0.01,-0.01,-0.02
"Other, Net",0,0,0,0,0
Net Income Before Taxes,0.80,0.72,1.34,0.46,0.46
Provision for Income Taxes,0.06,0.03,0.18,0.07,0.04
Net Income After Taxes,0.74,0.69,1.16,0.39,0.42
Net Income Before Extra. Items,0.74,0.69,1.16,0.39,0.42
Net Income,0.74,0.69,1.16,0.39,0.42
Income Available to Com Excl ExtraOrd,0.74,0.69,1.16,0.39,0.42
Income Available to Com Incl ExtraOrd,0.74,0.69,1.16,0.39,0.42
Diluted Net Income,0.74,0.69,1.16,0.39,0.42
Diluted Weighted Average Shares,186.13,189.82,189.80,189.82,189.82
Diluted EPS Excluding ExtraOrd Items,0.00,0.00,0.01,0.00,0.00
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.00
Diluted Normalised EPS,0.00,0.00,0.01,0.00,-0.00
