Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,9.18,9.10,8.89,8.79,9.01
Total Revenue,9.18,9.10,8.89,8.79,9.01
"Selling/General/Admin. Expenses, Total",10.39,9.35,8.45,6.15,5.05
Depreciation/Amortisation,0.54,0.45,0.47,2.48,1.14
Unusual Expense (Income),0.96,0,0,5.97,0
"Other Operating Expenses, Total",1.74,3.37,-0.64,3.05,0.37
Total Operating Expense,14.50,13.53,8.98,18.07,8.02
Operating Income,-5.32,-4.43,-0.10,-9.28,0.99
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.89,-1.04,-0.11,-0.38,-0.31
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-6.22,-5.47,-0.20,-9.66,0.68
Provision for Income Taxes,0.20,0.10,0.00,-0.03,0.13
Net Income After Taxes,-6.41,-5.56,-0.20,-9.63,0.55
Net Income Before Extra. Items,-6.13,-5.85,-2.58,-9.16,0.50
Net Income,-6.13,-5.85,-2.58,-9.16,0.50
Income Available to Com Excl ExtraOrd,-6.13,-5.85,-2.58,-9.16,0.50
Income Available to Com Incl ExtraOrd,-6.13,-5.85,-2.58,-9.16,0.50
Diluted Net Income,-6.13,-5.85,-2.58,-9.16,0.50
Diluted Weighted Average Shares,163.50,163.50,163.50,165.78,195.71
Diluted EPS Excluding ExtraOrd Items,-0.04,-0.04,-0.02,-0.06,0.00
DPS - Common Stock Primary Issue,0,0,0.00,0.00,0
Diluted Normalised EPS,-0.03,-0.04,-0.02,-0.03,0.00
