Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,29.93,25.07,8.30,1.81,4.24
Short Term Investments,0.14,0.17,0.42,0.32,0.09
Cash and Short Term Investments,30.07,25.25,8.72,2.13,4.33
"Accounts Receivable - Trade, Net",38.34,52.41,16.92,20.19,16.43
"Total Receivables, Net",51.66,52.41,16.92,20.19,16.43
Prepaid Expenses,0.06,0,0,0,0
"Other Current Assets, Total",0.41,0,0,0,0
Total Current Assets,322.24,273.67,230.96,255.68,244.43
"Property/Plant/Equipment, Total - Gross",7.98,0,0,0,0
"Accumulated Depreciation, Total",-1.90,0,0,0,0
"Property/Plant/Equipment, Total - Net",6.08,2.91,2.89,2.52,2.32
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,97.65,98.55,106.72,112.31,109.45
Total Assets,426.82,375.43,340.63,370.51,356.20
Accounts Payable,1.76,0,0,0,0
Accrued Expenses,3.21,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",4.26,0.53,0.22,0.27,0.39
Total Current Liabilities,142.68,98.94,61.05,92.43,84.67
Total Long Term Debt,17.69,15.32,14.92,15.01,14.69
Total Debt,151.13,107.08,64.44,92.15,83.53
Deferred Income Tax,31.03,10.74,9.49,9.49,9.45
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,237.75,177.07,139.13,170.66,162.35
"Common Stock, Total",63.28,63.28,63.28,63.28,63.28
Retained Earnings (Accumulated Deficit),154.85,141.45,141.73,140.33,136.22
Treasury Stock - Common,-9.36,-9.36,-9.38,-9.45,-9.49
Unrealised Gain (Loss),1.71,2.76,3.04,2.90,1.51
"Other Equity, Total",-21.41,0.23,2.83,2.79,2.32
Total Equity,189.07,198.36,201.50,199.85,193.85
Total Liabilities & Shareholders' Equity,426.82,375.43,340.63,370.51,356.20
Total Common Shares Outstanding,360.69,360.69,360.59,360.21,360.02
"Tangible Book Value per Share, Common Eq",0.52,0.55,0.56,0.55,0.54
