Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,52.28,69.82,31.51,8.08,26.98
Total Revenue,52.28,69.82,31.51,8.08,26.98
"Selling/General/Admin. Expenses, Total",5.97,5.60,5.54,4.97,4.65
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.05,-0.17,0.00,-0.01,0
"Other Operating Expenses, Total",2.33,-0.62,0.02,-0.32,-0.50
Total Operating Expense,56.24,66.90,28.79,7.80,30.57
Operating Income,-3.95,2.92,2.72,0.28,-3.59
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-3.95,2.92,2.72,0.28,-3.59
Provision for Income Taxes,-0.07,-14.75,-1.34,0.06,-0.00
Net Income After Taxes,-3.89,17.67,4.06,0.21,-3.59
Net Income Before Extra. Items,-3.87,17.68,4.06,0.22,-3.57
Net Income,-3.87,17.68,4.06,0.22,-3.57
Income Available to Com Excl ExtraOrd,-3.87,17.68,4.06,0.22,-3.57
Income Available to Com Incl ExtraOrd,-3.87,17.68,4.06,0.22,-3.57
Diluted Net Income,-3.87,17.68,4.06,0.22,-3.57
Diluted Weighted Average Shares,353.81,360.69,360.69,360.49,360.10
Diluted EPS Excluding ExtraOrd Items,-0.01,0.05,0.01,0.00,-0.01
DPS - Common Stock Primary Issue,0.00,0.01,0.01,0.00,0.00
Diluted Normalised EPS,-0.01,0.05,0.01,0.00,-0.01
