Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,Interim Report,ARS,ARS,PRESS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,23.87,17.88,14.17,14.64,15.17
"Accounts Receivable - Trade, Net",5.51,11.98,11.92,10.29,12.08
"Total Receivables, Net",5.51,11.99,11.92,10.29,12.09
Prepaid Expenses,0.21,0.24,0.23,0.18,0.35
"Other Current Assets, Total",1.62,0.96,0.25,1.39,0.00
Total Current Assets,35.56,34.13,31.20,30.61,30.32
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",1.46,1.14,0.77,1.13,1.33
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.01,0.00,0.00,0,0.03
Long Term Investments,1.71,24.03,3.97,0.90,0.34
Total Assets,38.88,59.35,35.95,32.70,32.05
Accounts Payable,7.30,6.58,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0
"Other Current liabilities, Total",8.02,6.27,3.92,2.75,2.85
Total Current Liabilities,15.32,12.85,9.48,7.62,7.78
Total Long Term Debt,0.00,0.00,0.00,0.06,0.06
Total Debt,0.00,0.00,0.00,0.42,0.42
Deferred Income Tax,0.05,0.05,0.00,0.00,0.00
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,15.40,12.95,9.56,7.76,7.90
"Common Stock, Total",17.97,17.97,17.97,17.97,17.97
Retained Earnings (Accumulated Deficit),5.81,5.85,5.40,7.11,6.89
Treasury Stock - Common,-0.26,-0.26,-0.26,-0.26,-0.26
Unrealised Gain (Loss),0.00,22.98,3.34,0.22,-0.33
"Other Equity, Total",-0.04,-0.14,-0.06,-0.10,-0.12
Total Equity,23.48,46.40,26.39,24.94,24.16
Total Liabilities & Shareholders' Equity,38.88,59.35,35.95,32.70,32.05
Total Common Shares Outstanding,105.00,105.00,105.00,105.00,105.00
"Tangible Book Value per Share, Common Eq",0.22,0.44,0.25,0.24,0.23
